scientific_name,common_name,longitude,latitude,state,water_type,season,sea_surface_temp_C,chlorophyll_mg_m3,depth_m,min_legal_size_cm,juvenile_range_cm,gear_type,zone_label,economic_value_in_INR_per_kg,seasonal_disease,river_name,advisory_text
Scomberomorus guttatus,Seer Fish,71.363,11.0304,Gujarat,Brackish,Summer,31.49,1.1,83.4,43.3,21.6-39.0,Trawl,Yellow,289.3,,Tapi,Moderate juvenile presence of Seer Fish in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Lates calcarifer,Asian Seabass,77.8468,17.0863,Karnataka,Brackish,Monsoon,31.92,0.81,95.9,23.0,11.5-20.7,Gillnet,Yellow,386.75,,Tungabhadra,Moderate juvenile presence of Asian Seabass in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Lates calcarifer,Asian Seabass,77.4866,10.8981,Tamil Nadu,Brackish,Winter,27.09,0.58,128.7,41.2,20.6-37.1,Purse Seine,Green,201.24,,Palar,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Rastrelliger kanagurta,Indian Mackerel,93.1145,21.0319,Gujarat,Marine,Summer,30.48,2.47,71.9,15.5,7.8-14.0,Hook and Line,Yellow,550.62,,Tapi,Moderate juvenile presence of Indian Mackerel in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sardinella longiceps,Oil Sardine,75.3872,8.1442,Gujarat,Brackish,Summer,24.56,1.09,48.7,23.7,11.8-21.3,Trawl,Green,305.57,,Tapi,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,96.9458,11.4579,Gujarat,Brackish,Winter,24.21,1.59,111.7,26.4,13.2-23.8,Gillnet,Green,421.24,,Sabarmati,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,78.2802,20.383,Maharashtra,Marine,Summer,22.68,2.02,93.0,25.5,12.8-22.9,Hook and Line,Green,372.9,,Godavari,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,70.0113,17.1292,Andhra Pradesh,Brackish,Summer,29.83,0.73,11.7,27.8,13.9-25.0,Hook and Line,Green,179.17,,Penna,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,84.7883,8.7272,Odisha,Brackish,Monsoon,27.42,1.06,198.2,17.6,8.8-15.8,Trawl,Green,479.04,,Brahmani,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,73.5346,18.1791,West Bengal,Marine,Monsoon,26.11,1.4,77.4,19.8,9.9-17.8,Hook and Line,Green,151.55,,Subarnarekha,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,82.0124,9.5612,West Bengal,Marine,Monsoon,24.81,2.76,168.8,31.9,15.9-28.7,Gillnet,Green,393.69,,Hooghly,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,80.0846,17.9359,Kerala,Marine,Summer,26.44,1.44,129.9,15.1,7.5-13.6,Purse Seine,Green,148.51,,Bharathapuzha,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,74.4012,8.8036,Maharashtra,Marine,Summer,23.54,0.6,189.2,44.5,22.2-40.1,Purse Seine,Green,747.4,,Wardha,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,79.6054,17.1367,West Bengal,Marine,Winter,27.0,2.77,121.6,40.1,20.1-36.1,Trawl,Green,146.71,,Damodar,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,74.5559,10.9061,Andhra Pradesh,Brackish,Summer,22.86,1.72,36.4,24.9,12.4-22.4,Hook and Line,Green,518.48,,Penna,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,85.3934,21.3338,Kerala,Marine,Summer,26.78,2.56,40.2,20.6,10.3-18.5,Purse Seine,Red,290.64,Tail Rot,Bharathapuzha,High juvenile dominance of Hilsa observed in Bharathapuzha. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Rastrelliger kanagurta,Indian Mackerel,74.1389,13.6028,Kerala,Brackish,Monsoon,31.07,0.13,165.2,30.7,15.3-27.6,Gillnet,Red,116.65,Gill Rot,Pamba,High juvenile dominance of Indian Mackerel observed in Pamba. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Lates calcarifer,Asian Seabass,68.2112,21.6994,Odisha,Brackish,Winter,27.51,1.56,190.3,30.5,15.2-27.4,Gillnet,Green,408.82,,Brahmani,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,87.6158,9.2506,Maharashtra,Brackish,Summer,27.75,2.95,69.0,26.4,13.2-23.8,Trawl,Red,587.99,Tail Rot,Tapi,High juvenile dominance of Hilsa observed in Tapi. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Sardinella longiceps,Oil Sardine,71.7635,21.5018,West Bengal,Marine,Monsoon,25.65,0.33,31.8,19.5,9.8-17.6,Gillnet,Yellow,470.69,,Damodar,Moderate juvenile presence of Oil Sardine in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Tenualosa ilisha,Hilsa,71.8488,11.9103,Kerala,Brackish,Monsoon,26.71,2.09,70.6,26.0,13.0-23.4,Purse Seine,Green,484.42,,Chaliyar,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,93.2015,18.0389,Andhra Pradesh,Brackish,Winter,26.51,1.39,72.9,17.8,8.9-16.0,Gillnet,Green,505.51,,Penna,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Rastrelliger kanagurta,Indian Mackerel,83.605,8.8593,West Bengal,Brackish,Summer,31.77,0.33,37.2,39.9,19.9-35.9,Gillnet,Yellow,107.24,,Teesta,Moderate juvenile presence of Indian Mackerel in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Epinephelus malabaricus,Malabar Grouper,79.7115,13.3209,Andhra Pradesh,Marine,Summer,29.76,1.92,59.7,44.8,22.4-40.3,Purse Seine,Green,753.21,,Penna,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,93.0382,10.3465,Karnataka,Brackish,Summer,25.89,1.73,133.8,32.1,16.1-28.9,Purse Seine,Green,521.73,,Kaveri,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,70.2194,20.2648,Andhra Pradesh,Brackish,Winter,23.61,0.51,176.5,37.2,18.6-33.5,Trawl,Green,540.56,,Penna,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,96.0081,14.8771,Gujarat,Brackish,Winter,29.32,1.06,161.9,43.0,21.5-38.7,Gillnet,Green,278.01,,Sabarmati,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,91.401,8.5612,Kerala,Marine,Monsoon,31.23,1.71,70.2,35.5,17.8-31.9,Trawl,Red,722.81,White Spot Syndrome,Periyar,High juvenile dominance of Black Tiger Shrimp observed in Periyar. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Tenualosa ilisha,Hilsa,70.7574,19.7342,West Bengal,Brackish,Winter,25.14,1.43,40.5,25.4,12.7-22.9,Trawl,Green,548.86,,Hooghly,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,86.5889,19.1086,West Bengal,Marine,Monsoon,27.47,2.13,60.2,21.2,10.6-19.1,Hook and Line,Green,381.86,,Subarnarekha,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,73.3057,17.0364,Tamil Nadu,Marine,Winter,30.84,0.18,72.6,22.4,11.2-20.2,Trawl,Yellow,755.44,,Kaveri,Moderate juvenile presence of Malabar Grouper in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Lates calcarifer,Asian Seabass,95.5854,8.9201,Maharashtra,Marine,Monsoon,30.85,0.59,6.2,39.2,19.6-35.3,Gillnet,Yellow,726.92,,Wardha,Moderate juvenile presence of Asian Seabass in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sepia pharaonis,Pharaoh Cuttlefish,74.5675,18.8178,Andhra Pradesh,Marine,Winter,27.35,0.79,14.3,17.6,8.8-15.8,Gillnet,Green,635.6,,Godavari,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,81.6383,16.7433,Gujarat,Brackish,Monsoon,24.12,2.52,160.0,44.5,22.2-40.1,Purse Seine,Green,187.19,,Tapi,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Rastrelliger kanagurta,Indian Mackerel,91.4191,9.6835,Andhra Pradesh,Brackish,Summer,22.19,2.98,24.4,40.5,20.2-36.5,Purse Seine,Green,686.75,,Penna,Low juvenile presence of Indian Mackerel. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,85.924,14.3505,Andhra Pradesh,Brackish,Winter,25.21,1.16,25.2,41.0,20.5-36.9,Hook and Line,Red,579.38,Cold Shock Disease,Penna,High juvenile dominance of Oil Sardine observed in Penna. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Tenualosa ilisha,Hilsa,94.613,13.6764,Maharashtra,Marine,Summer,22.27,2.57,132.7,22.3,11.2-20.1,Trawl,Red,650.96,Tail Rot,Wardha,High juvenile dominance of Hilsa observed in Wardha. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Carangoides malabaricus,Malabar Trevally,87.1702,11.2563,West Bengal,Brackish,Summer,26.12,0.3,76.2,24.4,12.2-22.0,Purse Seine,Yellow,172.26,,Teesta,Moderate juvenile presence of Malabar Trevally in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sepia pharaonis,Pharaoh Cuttlefish,70.6007,10.6577,Maharashtra,Brackish,Winter,24.88,0.54,145.3,23.2,11.6-20.9,Hook and Line,Green,365.04,,Krishna,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,95.3779,21.9263,Kerala,Brackish,Monsoon,27.34,2.87,67.3,25.9,12.9-23.3,Gillnet,Red,631.11,White Spot Syndrome,Chaliyar,High juvenile dominance of Black Tiger Shrimp observed in Chaliyar. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Scomberomorus guttatus,Seer Fish,94.9664,20.9816,Odisha,Brackish,Summer,25.02,0.42,193.3,40.5,20.2-36.5,Gillnet,Yellow,676.57,,Brahmani,Moderate juvenile presence of Seer Fish in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sepia pharaonis,Pharaoh Cuttlefish,88.0651,20.0252,Odisha,Brackish,Summer,29.99,0.74,192.1,19.3,9.7-17.4,Purse Seine,Green,428.51,,Mahanadi,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,82.963,13.9448,West Bengal,Brackish,Monsoon,29.66,1.62,136.6,42.2,21.1-38.0,Hook and Line,Green,247.14,,Hooghly,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,90.7185,14.201,Karnataka,Brackish,Summer,25.13,2.71,118.6,30.7,15.3-27.6,Hook and Line,Green,695.61,,Krishna,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,88.2999,16.3365,Karnataka,Marine,Summer,27.01,2.23,197.4,25.0,12.5-22.5,Gillnet,Green,392.25,,Krishna,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,93.5769,14.4935,Maharashtra,Marine,Winter,26.13,2.38,13.6,34.0,17.0-30.6,Hook and Line,Green,388.14,,Godavari,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,71.3851,10.5586,Kerala,Brackish,Monsoon,28.84,2.7,22.0,17.7,8.8-15.9,Trawl,Green,737.97,,Bharathapuzha,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Rastrelliger kanagurta,Indian Mackerel,70.3409,12.4291,Karnataka,Marine,Monsoon,23.4,1.0,115.8,22.6,11.3-20.3,Hook and Line,Red,245.45,Gill Rot,Tungabhadra,High juvenile dominance of Indian Mackerel observed in Tungabhadra. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Sardinella longiceps,Oil Sardine,77.4585,19.5287,Karnataka,Brackish,Winter,30.89,0.42,172.8,23.6,11.8-21.2,Gillnet,Red,450.51,Cold Shock Disease,Kaveri,High juvenile dominance of Oil Sardine observed in Kaveri. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Epinephelus malabaricus,Malabar Grouper,95.1235,15.9335,Odisha,Marine,Summer,23.91,2.35,146.7,21.9,10.9-19.7,Gillnet,Green,223.17,,Baitarani,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,78.6025,16.9058,Karnataka,Marine,Monsoon,23.8,2.75,40.2,29.3,14.7-26.4,Hook and Line,Green,194.73,,Krishna,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,95.5927,15.2075,Tamil Nadu,Brackish,Monsoon,24.36,0.43,50.8,33.1,16.6-29.8,Gillnet,Yellow,695.63,,Kaveri,Moderate juvenile presence of Oil Sardine in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sardinella longiceps,Oil Sardine,75.8767,21.7682,Karnataka,Marine,Winter,31.1,1.04,102.4,34.3,17.1-30.9,Gillnet,Red,206.35,Cold Shock Disease,Krishna,High juvenile dominance of Oil Sardine observed in Krishna. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Pampus argenteus,Silver Pomfret,72.436,11.0206,Andhra Pradesh,Brackish,Winter,26.93,0.43,130.7,26.0,13.0-23.4,Purse Seine,Yellow,297.41,,Penna,Moderate juvenile presence of Silver Pomfret in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Rastrelliger kanagurta,Indian Mackerel,75.4777,18.3805,Gujarat,Marine,Winter,31.21,2.16,87.0,29.7,14.8-26.7,Trawl,Yellow,671.2,,Mahi,Moderate juvenile presence of Indian Mackerel in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Lates calcarifer,Asian Seabass,71.2392,9.3495,West Bengal,Marine,Summer,25.58,1.19,108.3,42.8,21.4-38.5,Gillnet,Green,614.44,,Subarnarekha,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,82.8232,17.3001,West Bengal,Marine,Winter,29.41,2.02,56.6,34.1,17.1-30.7,Gillnet,Green,690.11,,Teesta,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,71.9996,11.8706,Karnataka,Brackish,Winter,26.71,1.59,91.6,35.1,17.6-31.6,Gillnet,Green,687.92,,Krishna,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,78.3621,18.9186,Kerala,Marine,Winter,29.42,0.3,45.3,34.6,17.3-31.1,Trawl,Yellow,405.28,,Bharathapuzha,Moderate juvenile presence of Silver Pomfret in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Scomberomorus guttatus,Seer Fish,94.8192,10.4043,Maharashtra,Marine,Winter,31.46,0.96,33.0,17.6,8.8-15.8,Hook and Line,Yellow,371.61,,Wardha,Moderate juvenile presence of Seer Fish in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Penaeus monodon,Black Tiger Shrimp,94.7936,16.6832,Odisha,Marine,Summer,29.5,1.88,42.9,19.8,9.9-17.8,Trawl,Green,211.94,,Mahanadi,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,70.725,19.9143,Maharashtra,Marine,Winter,26.98,2.77,49.0,36.0,18.0-32.4,Hook and Line,Green,789.77,,Godavari,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,77.4631,11.9432,Maharashtra,Brackish,Summer,23.15,3.0,53.1,30.9,15.4-27.8,Hook and Line,Red,707.36,Tail Rot,Krishna,High juvenile dominance of Hilsa observed in Krishna. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Sepia pharaonis,Pharaoh Cuttlefish,73.7632,13.4849,Andhra Pradesh,Brackish,Monsoon,26.94,1.12,148.4,38.6,19.3-34.7,Hook and Line,Green,601.38,,Godavari,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,88.5428,11.1955,Karnataka,Brackish,Monsoon,25.27,1.27,79.4,34.6,17.3-31.1,Hook and Line,Green,437.03,,Tungabhadra,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,91.8517,18.2885,Maharashtra,Brackish,Monsoon,25.26,2.71,172.3,35.2,17.6-31.7,Gillnet,Green,568.5,,Wardha,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,84.6613,10.5986,Karnataka,Brackish,Winter,30.08,1.75,39.8,42.4,21.2-38.2,Trawl,Yellow,538.65,,Kaveri,Moderate juvenile presence of Asian Seabass in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Scomberomorus guttatus,Seer Fish,86.4552,11.2555,Andhra Pradesh,Marine,Summer,30.36,2.05,135.2,43.4,21.7-39.1,Hook and Line,Yellow,525.31,,Godavari,Moderate juvenile presence of Seer Fish in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Carangoides malabaricus,Malabar Trevally,93.5238,13.0607,Tamil Nadu,Marine,Winter,26.67,1.4,114.5,39.1,19.6-35.2,Purse Seine,Green,422.07,,Vaigai,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Rastrelliger kanagurta,Indian Mackerel,81.5633,11.1726,Karnataka,Marine,Winter,27.06,2.99,198.2,34.9,17.4-31.4,Gillnet,Green,185.23,,Kaveri,Low juvenile presence of Indian Mackerel. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,75.4981,14.0776,Kerala,Brackish,Summer,24.94,2.35,75.0,32.5,16.2-29.2,Trawl,Green,362.3,,Bharathapuzha,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,81.9104,12.376,Maharashtra,Marine,Winter,22.84,2.74,197.0,22.9,11.4-20.6,Trawl,Red,304.68,Cold Shock Disease,Krishna,High juvenile dominance of Oil Sardine observed in Krishna. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Sardinella longiceps,Oil Sardine,95.5476,18.7392,Gujarat,Brackish,Winter,28.12,2.45,176.6,37.8,18.9-34.0,Trawl,Red,130.67,Cold Shock Disease,Tapi,High juvenile dominance of Oil Sardine observed in Tapi. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Tenualosa ilisha,Hilsa,78.5422,18.2588,West Bengal,Marine,Summer,24.73,2.7,22.3,19.8,9.9-17.8,Hook and Line,Red,782.77,Tail Rot,Damodar,High juvenile dominance of Hilsa observed in Damodar. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Tenualosa ilisha,Hilsa,80.6281,19.7599,Kerala,Marine,Winter,24.76,0.22,194.6,25.2,12.6-22.7,Purse Seine,Yellow,477.87,,Pamba,Moderate juvenile presence of Hilsa in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Epinephelus malabaricus,Malabar Grouper,71.9705,17.0263,Kerala,Marine,Winter,29.19,0.8,192.8,44.6,22.3-40.1,Gillnet,Green,373.7,,Chaliyar,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,88.4215,10.714,Andhra Pradesh,Brackish,Monsoon,30.49,2.61,86.6,24.9,12.4-22.4,Gillnet,Yellow,769.45,,Krishna,Moderate juvenile presence of Seer Fish in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sardinella longiceps,Oil Sardine,96.4559,20.5025,Tamil Nadu,Brackish,Monsoon,26.18,1.29,59.9,17.7,8.8-15.9,Purse Seine,Green,463.14,,Vaigai,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,94.2687,20.5833,Odisha,Marine,Winter,23.08,0.34,164.8,23.9,11.9-21.5,Trawl,Yellow,350.09,,Baitarani,Moderate juvenile presence of Malabar Trevally in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Epinephelus malabaricus,Malabar Grouper,87.2281,9.3042,Maharashtra,Brackish,Summer,24.4,0.29,73.8,21.8,10.9-19.6,Hook and Line,Yellow,655.34,,Krishna,Moderate juvenile presence of Malabar Grouper in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sardinella longiceps,Oil Sardine,95.8801,11.072,West Bengal,Marine,Summer,29.07,2.78,78.7,27.3,13.7-24.6,Hook and Line,Green,706.16,,Subarnarekha,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,91.6868,16.8213,Andhra Pradesh,Marine,Summer,29.42,0.64,124.9,25.8,12.9-23.2,Trawl,Green,572.71,,Godavari,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,92.0716,15.4744,Andhra Pradesh,Marine,Winter,24.88,0.27,144.1,35.7,17.9-32.1,Purse Seine,Yellow,625.34,,Penna,Moderate juvenile presence of Pharaoh Cuttlefish in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Carangoides malabaricus,Malabar Trevally,91.6759,8.1428,Gujarat,Brackish,Monsoon,27.55,2.69,48.4,18.1,9.1-16.3,Gillnet,Green,415.44,,Mahi,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,91.8205,18.0499,Karnataka,Brackish,Summer,22.87,1.63,24.6,25.2,12.6-22.7,Purse Seine,Green,510.59,,Kaveri,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,87.7942,8.3379,West Bengal,Brackish,Summer,24.82,2.12,176.5,29.5,14.8-26.6,Trawl,Red,552.51,Tail Rot,Hooghly,High juvenile dominance of Hilsa observed in Hooghly. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Tenualosa ilisha,Hilsa,80.8862,21.0044,Kerala,Brackish,Monsoon,29.52,1.2,100.0,17.4,8.7-15.7,Purse Seine,Green,552.54,,Pamba,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,84.3779,17.8736,Gujarat,Brackish,Winter,30.79,2.49,51.4,20.9,10.4-18.8,Trawl,Yellow,158.54,,Sabarmati,Moderate juvenile presence of Seer Fish in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Carangoides malabaricus,Malabar Trevally,76.4308,21.717,West Bengal,Marine,Summer,23.93,0.25,144.2,27.4,13.7-24.7,Trawl,Yellow,262.36,,Damodar,Moderate juvenile presence of Malabar Trevally in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Lates calcarifer,Asian Seabass,72.1535,8.1598,Karnataka,Brackish,Winter,29.7,2.44,166.6,43.0,21.5-38.7,Gillnet,Green,628.95,,Krishna,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,89.4554,12.4504,Karnataka,Marine,Monsoon,25.44,2.89,66.4,40.9,20.4-36.8,Hook and Line,Green,239.36,,Tungabhadra,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,89.856,17.694,Kerala,Marine,Winter,27.21,0.17,180.7,42.4,21.2-38.2,Purse Seine,Yellow,611.13,,Pamba,Moderate juvenile presence of Malabar Grouper in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Tenualosa ilisha,Hilsa,78.4088,18.1331,Gujarat,Marine,Monsoon,29.83,0.67,46.9,41.1,20.6-37.0,Purse Seine,Green,329.97,,Tapi,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,89.8474,12.8102,West Bengal,Marine,Summer,28.73,1.38,104.1,31.1,15.6-28.0,Gillnet,Green,509.12,,Subarnarekha,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,82.9379,10.8537,Tamil Nadu,Brackish,Winter,22.22,1.18,73.3,34.9,17.4-31.4,Gillnet,Green,654.49,,Vaigai,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,69.4417,18.2012,Andhra Pradesh,Brackish,Summer,28.33,0.99,63.5,33.9,16.9-30.5,Gillnet,Green,408.28,,Godavari,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,91.0187,18.9728,Andhra Pradesh,Brackish,Monsoon,29.15,2.93,87.1,15.9,8.0-14.3,Gillnet,Green,720.62,,Krishna,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,75.0243,21.7964,Maharashtra,Brackish,Summer,31.3,0.73,47.5,31.6,15.8-28.4,Gillnet,Yellow,311.11,,Krishna,Moderate juvenile presence of Malabar Grouper in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
